,案號,酒駕前案紀錄
1,"CHDM,108,交簡,100,20190115,1",2
2,"CHDM,108,交簡,102,20190114,1",1
3,"CHDM,108,交簡,107,20190111,1",1
4,"CHDM,108,交簡,125,20190125,1",2
5,"CHDM,108,交簡,126,20190123,1",1
6,"CHDM,108,交簡,155,20190124,1",0
7,"CHDM,108,交簡,170,20190128,1",1
8,"CHDM,108,交簡,183,20190128,1",1
9,"CHDM,108,交簡,186,20190128,1",1
10,"CHDM,108,交簡,190,20190129,1",1
11,"CHDM,108,交簡,207,20190131,1",1
12,"CHDM,108,交簡,21,20190111,1",1
13,"CHDM,108,交簡,214,20190129,1",1
14,"CHDM,108,交簡,224,20190129,1",0
15,"CHDM,108,交簡,234,20190130,1",3
16,"CHDM,108,交簡,4,20190115,1",1
17,"CHDM,108,交簡,43,20190111,1",1
18,"CHDM,108,交簡,58,20190131,1",1
19,"CHDM,108,交簡,78,20190111,1",1
20,"CHDM,108,交簡,83,20190115,1",2
21,"CTDM,107,交簡,2622,20190109,1",4
22,"CTDM,107,交簡,2647,20190109,1",1
23,"CTDM,107,交簡,2648,20190109,1",5
24,"CTDM,107,交簡,2762,20190109,1",4
25,"CTDM,107,交簡,2903,20190104,1",0
26,"CTDM,107,交簡,2944,20190107,1",1
27,"CTDM,107,交簡,2964,20190108,1",1
28,"CTDM,107,交簡,2981,20190109,1",3
29,"CTDM,107,交簡,2990,20190109,1",1
30,"CTDM,107,交簡,3009,20190104,1",1
31,"CTDM,107,交簡,3021,20190119,1",2
32,"CTDM,108,交簡,112,20190115,1",1
33,"CTDM,108,交簡,13,20190119,1",4
34,"CTDM,108,交簡,133,20190129,1",3
35,"CTDM,108,交簡,137,20190129,1",0
36,"CTDM,108,交簡,140,20190121,1",0
37,"CTDM,108,交簡,149,20190121,1",2
38,"CTDM,108,交簡,157,20190130,1",0
39,"CTDM,108,交簡,163,20190123,1",1
40,"CTDM,108,交簡,169,20190128,1",2
41,"CTDM,108,交簡,177,20190129,1",2
42,"CTDM,108,交簡,181,20190128,1",0
43,"CTDM,108,交簡,182,20190130,1",1
44,"CTDM,108,交簡,184,20190124,1",4
45,"CTDM,108,交簡,190,20190131,1",2
46,"CTDM,108,交簡,194,20190124,1",1
47,"CTDM,108,交簡,212,20190128,1",2
48,"CTDM,108,交簡,221,20190130,1",1
49,"CTDM,108,交簡,24,20190116,1",2
50,"CTDM,108,交簡,244,20190131,1",0
51,"CTDM,108,交簡,263,20190130,1",0
52,"CTDM,108,交簡,5,20190119,1",4
53,"CTDM,108,交簡,50,20190110,1",3
54,"CTDM,108,交簡,51,20190116,1",1
55,"CTDM,108,交簡,54,20190123,1",5
56,"CTDM,108,交簡,58,20190114,1",1
57,"CTDM,108,交簡,59,20190119,1",3
58,"CTDM,108,交簡,7,20190116,1",1
59,"CTDM,108,交簡,89,20190119,1",2
60,"CTDM,108,交簡,9,20190115,1",0
61,"CYDM,108,嘉交簡,101,20190121,1",0
62,"CYDM,108,嘉交簡,127,20190130,1",2
63,"CYDM,108,嘉交簡,135,20190129,1",0
64,"CYDM,108,嘉交簡,146,20190131,1",2
65,"CYDM,108,嘉交簡,149,20190130,1",3
66,"CYDM,108,嘉交簡,3,20190110,1",1
67,"CYDM,108,嘉交簡,4,20190131,1",1
68,"CYDM,108,嘉交簡,40,20190110,1",1
69,"CYDM,108,嘉交簡,42,20190109,1",0
70,"CYDM,108,嘉交簡,75,20190123,1",1
71,"CYDM,108,嘉交簡,83,20190116,1",0
72,"CYDM,108,嘉交簡,84,20190116,1",0
73,"CYDM,108,嘉交簡,89,20190130,1",1
74,"CYDM,108,嘉交簡,97,20190122,1",2
75,"CYDM,108,朴交簡,13,20190122,1",5
76,"CYDM,108,朴交簡,15,20190118,1",2
77,"CYDM,108,朴交簡,22,20190125,1",2
78,"CYDM,108,朴交簡,34,20190128,1",1
79,"CYDM,108,朴交簡,48,20190130,1",0
80,"CYDM,108,朴交簡,52,20190131,1",1
81,"FYEM,108,豐交簡,14,20190107,1",2
82,"FYEM,108,豐交簡,37,20190109,1",3
83,"FYEM,108,豐交簡,44,20190114,1",2
84,"FYEM,108,豐交簡,53,20190116,1",2
85,"FYEM,108,豐交簡,57,20190116,1",1
86,"FYEM,108,豐交簡,7,20190103,1",1
87,"FYEM,108,豐交簡,74,20190121,1",2
88,"FYEM,108,豐交簡,96,20190128,1",2
89,"FYEM,108,豐交簡,99,20190128,1",2
90,"HLDM,108,玉交簡,11,20190130,1",0
91,"HLDM,108,玉交簡,7,20190117,1",0
92,"HLDM,108,花交簡,14,20190107,1",1
93,"HLDM,108,花交簡,16,20190117,1",1
94,"HLDM,108,花交簡,22,20190115,1",1
95,"HLDM,108,花交簡,33,20190119,1",1
96,"HLDM,108,花交簡,37,20190121,1",2
97,"HLDM,108,花交簡,42,20190129,1",1
98,"ILDM,107,交簡,1433,20190115,1",2
99,"ILDM,107,交簡,1448,20190107,1",0
100,"ILDM,107,交簡,1458,20190102,1",2
101,"ILDM,108,交簡,15,20190121,1",0
102,"ILDM,108,交簡,17,20190121,1",2
103,"ILDM,108,交簡,32,20190121,1",1
104,"ILDM,108,交簡,34,20190129,1",2
105,"ILDM,108,交簡,55,20190128,1",1
106,"ILDM,108,交簡,58,20190128,1",0
107,"ILDM,108,交簡,65,20190130,1",2
108,"ILDM,108,交簡,7,20190129,1",2
109,"ILDM,108,交簡,78,20190128,1",1
110,"KLDM,108,基交簡,1,20190107,1",1
111,"KLDM,108,基交簡,10,20190110,1",2
112,"KLDM,108,基交簡,11,20190108,1",3
113,"KLDM,108,基交簡,12,20190118,1",3
114,"KLDM,108,基交簡,13,20190107,1",0
115,"KLDM,108,基交簡,17,20190110,1",3
116,"KLDM,108,基交簡,19,20190103,1",0
117,"KLDM,108,基交簡,2,20190104,1",0
118,"KLDM,108,基交簡,24,20190109,1",0
119,"KLDM,108,基交簡,25,20190110,1",1
120,"KLDM,108,基交簡,29,20190115,1",1
121,"KLDM,108,基交簡,3,20190103,1",1
122,"KLDM,108,基交簡,30,20190110,1",0
123,"KLDM,108,基交簡,36,20190116,1",1
124,"KLDM,108,基交簡,38,20190117,1",1
125,"KLDM,108,基交簡,40,20190116,1",2
126,"KLDM,108,基交簡,42,20190122,1",0
127,"KLDM,108,基交簡,5,20190110,1",1
128,"KLDM,108,基交簡,51,20190121,1",1
129,"KLDM,108,基交簡,52,20190121,1",3
130,"KLDM,108,基交簡,54,20190128,1",4
131,"KLDM,108,基交簡,57,20190128,1",0
132,"KLDM,108,基交簡,59,20190130,1",1
133,"KLDM,108,基交簡,6,20190118,1",1
134,"KLDM,108,基交簡,60,20190131,1",0
135,"KLDM,108,基交簡,7,20190103,1",1
